ts,datetime,key,value
1662095787834,2022/09/02 01:16:27,rainfallDay10mm,5
1662095780133,2022/09/02 01:16:20,rainfallDay10mm,5
1662095773622,2022/09/02 01:16:13,rainfallDay10mm,5
1662095766013,2022/09/02 01:16:06,rainfallDay10mm,5
1662095759404,2022/09/02 01:15:59,rainfallDay10mm,5
1662095747319,2022/09/02 01:15:47,rainfallDay10mm,5
1662095742994,2022/09/02 01:15:42,rainfallDay10mm,5
1662095730900,2022/09/02 01:15:30,rainfallDay10mm,5
1662095714702,2022/09/02 01:15:14,rainfallDay10mm,5
1662095707041,2022/09/02 01:15:07,rainfallDay10mm,5
1662095702752,2022/09/02 01:15:02,rainfallDay10mm,5
1662095683378,2022/09/02 01:14:43,rainfallDay10mm,5
1662095676886,2022/09/02 01:14:36,rainfallDay10mm,5
1662095669275,2022/09/02 01:14:29,rainfallDay10mm,5
1662095663705,2022/09/02 01:14:23,rainfallDay10mm,5
1662095657325,2022/09/02 01:14:17,rainfallDay10mm,5
1662095651659,2022/09/02 01:14:11,rainfallDay10mm,5
1662095629011,2022/09/02 01:13:49,rainfallDay10mm,5
1662095622403,2022/09/02 01:13:42,rainfallDay10mm,5
1662095617043,2022/09/02 01:13:37,rainfallDay10mm,5
1662095601844,2022/09/02 01:13:21,rainfallDay10mm,5
1662095594008,2022/09/02 01:13:14,rainfallDay10mm,5
1662095573749,2022/09/02 01:12:53,rainfallDay10mm,5
1662095566166,2022/09/02 01:12:46,rainfallDay10mm,5
1662095559662,2022/09/02 01:12:39,rainfallDay10mm,5
1662095552025,2022/09/02 01:12:32,rainfallDay10mm,5
1662095545427,2022/09/02 01:12:25,rainfallDay10mm,5
1662095538901,2022/09/02 01:12:18,rainfallDay10mm,5
1662095530271,2022/09/02 01:12:10,rainfallDay10mm,5
1662095524745,2022/09/02 01:12:04,rainfallDay10mm,5
1662095516287,2022/09/02 01:11:56,rainfallDay10mm,5
1662095510624,2022/09/02 01:11:50,rainfallDay10mm,5
1662095503977,2022/09/02 01:11:43,rainfallDay10mm,5
1662095490613,2022/09/02 01:11:30,rainfallDay10mm,5
1662095479871,2022/09/02 01:11:19,rainfallDay10mm,5
1662095471470,2022/09/02 01:11:11,rainfallDay10mm,5
1662095458662,2022/09/02 01:10:58,rainfallDay10mm,5
1662095451961,2022/09/02 01:10:51,rainfallDay10mm,5
1662095446599,2022/09/02 01:10:46,rainfallDay10mm,5
1662095439958,2022/09/02 01:10:39,rainfallDay10mm,5
1662095431447,2022/09/02 01:10:31,rainfallDay10mm,5
1662095425862,2022/09/02 01:10:25,rainfallDay10mm,5
1662095417360,2022/09/02 01:10:17,rainfallDay10mm,5
1662095411748,2022/09/02 01:10:11,rainfallDay10mm,5
1662095404258,2022/09/02 01:10:04,rainfallDay10mm,5
1662095397634,2022/09/02 01:09:57,rainfallDay10mm,5
1662095389132,2022/09/02 01:09:49,rainfallDay10mm,5
1662095383460,2022/09/02 01:09:43,rainfallDay10mm,5
1662095376785,2022/09/02 01:09:36,rainfallDay10mm,5
1662095357659,2022/09/02 01:09:17,rainfallDay10mm,5
1662095350088,2022/09/02 01:09:10,rainfallDay10mm,5
1662095345721,2022/09/02 01:09:05,rainfallDay10mm,5
1662095338061,2022/09/02 01:08:58,rainfallDay10mm,5
1662095331600,2022/09/02 01:08:51,rainfallDay10mm,5
1662095324879,2022/09/02 01:08:44,rainfallDay10mm,5
1662095316001,2022/09/02 01:08:36,rainfallDay10mm,5
1662095309545,2022/09/02 01:08:29,rainfallDay10mm,5
1662095302884,2022/09/02 01:08:22,rainfallDay10mm,5
1662095294405,2022/09/02 01:08:14,rainfallDay10mm,5
1662095288824,2022/09/02 01:08:08,rainfallDay10mm,5
1662095276714,2022/09/02 01:07:56,rainfallDay10mm,5
1662095263822,2022/09/02 01:07:43,rainfallDay10mm,5
1662095255740,2022/09/02 01:07:35,rainfallDay10mm,5
1662095238864,2022/09/02 01:07:18,rainfallDay10mm,5
1662095231158,2022/09/02 01:07:11,rainfallDay10mm,5
1662095225527,2022/09/02 01:07:05,rainfallDay10mm,5
1662095218923,2022/09/02 01:06:58,rainfallDay10mm,5
1662095211406,2022/09/02 01:06:51,rainfallDay10mm,5
1662095205688,2022/09/02 01:06:45,rainfallDay10mm,5
1662095197253,2022/09/02 01:06:37,rainfallDay10mm,5
1662095181228,2022/09/02 01:06:21,rainfallDay10mm,5
1662095167225,2022/09/02 01:06:07,rainfallDay10mm,5
1662095152125,2022/09/02 01:05:52,rainfallDay10mm,5
1662095147853,2022/09/02 01:05:47,rainfallDay10mm,5
1662095131628,2022/09/02 01:05:31,rainfallDay10mm,5
1662095994073,2022/09/02 01:19:54,rainfallHourly2mm,0
1662095984387,2022/09/02 01:19:44,rainfallHourly2mm,0
1662095977759,2022/09/02 01:19:37,rainfallHourly2mm,0
1662095972423,2022/09/02 01:19:32,rainfallHourly2mm,0
1662095964950,2022/09/02 01:19:24,rainfallHourly2mm,0
1662095958284,2022/09/02 01:19:18,rainfallHourly2mm,0
1662095951564,2022/09/02 01:19:11,rainfallHourly2mm,0
1662095946276,2022/09/02 01:19:06,rainfallHourly2mm,0
1662095938804,2022/09/02 01:18:58,rainfallHourly2mm,0
1662095931216,2022/09/02 01:18:51,rainfallHourly2mm,0
1662095924719,2022/09/02 01:18:44,rainfallHourly2mm,0
1662095917136,2022/09/02 01:18:37,rainfallHourly2mm,0
1662095904107,2022/09/02 01:18:24,rainfallHourly2mm,0
1662095899437,2022/09/02 01:18:19,rainfallHourly2mm,0
1662095892171,2022/09/02 01:18:12,rainfallHourly2mm,0
1662095879113,2022/09/02 01:17:59,rainfallHourly2mm,0
1662095865914,2022/09/02 01:17:45,rainfallHourly2mm,0
1662095859399,2022/09/02 01:17:39,rainfallHourly2mm,0
1662095847303,2022/09/02 01:17:27,rainfallHourly2mm,0
1662095835174,2022/09/02 01:17:15,rainfallHourly2mm,0
1662095827678,2022/09/02 01:17:07,rainfallHourly2mm,0
1662095820270,2022/09/02 01:17:00,rainfallHourly2mm,0
1662095813716,2022/09/02 01:16:53,rainfallHourly2mm,0
1662095806084,2022/09/02 01:16:46,rainfallHourly2mm,0
1662095800365,2022/09/02 01:16:40,rainfallHourly2mm,0
1662095787587,2022/09/02 01:16:27,rainfallHourly2mm,0
1662095780991,2022/09/02 01:16:20,rainfallHourly2mm,0
1662095773962,2022/09/02 01:16:13,rainfallHourly2mm,0
1662095766889,2022/09/02 01:16:06,rainfallHourly2mm,0
1662095759115,2022/09/02 01:15:59,rainfallHourly2mm,0
1662095747034,2022/09/02 01:15:47,rainfallHourly2mm,0
1662095742682,2022/09/02 01:15:42,rainfallHourly2mm,0
1662095730628,2022/09/02 01:15:30,rainfallHourly2mm,0
1662095714390,2022/09/02 01:15:14,rainfallHourly2mm,0
